3dr:type
3dshapes:ggmodelk
AND:importance_level
CEMT
CLC:code
CLC:explanation
CLC:id
CLC:shapeId
CLC:year
HE_ref
IBGE:CD_ADMINIS
IBGE:GEOCODIGO
KSJ2:ADS
KSJ2:ARE
KSJ2:AdminArea
KSJ2:BDC
KSJ2:BDC_label
KSJ2:COP_label
KSJ2:DFC
KSJ2:DFC_label
KSJ2:DFD
KSJ2:INT
KSJ2:INT_label
KSJ2:INT_label
KSJ2:LIN
KSJ2:LOC
KSJ2:OPC
KSJ2:PRC
KSJ2:PubFacAdmin
KSJ2:RAC
KSJ2:RAC_label
KSJ2:RIC
KSJ2:RIN
KSJ2:WSC
KSJ2:coordinate
KSJ2:curve_id
KSJ2:filename
KSJ2:lat
KSJ2:long
KSJ2:river_id
KSJ2:river_id
LandPro08:DE3
LandPro08:DE5
LandPro08:LC
LandPro08:LCLU
LandPro08:LC_NAME
LandPro08:LU
LandPro08:LU_NAME
NHD:ComID
NHD:ComID
NHD:Elevation
NHD:FCode
NHD:FDate
NHD:FLOWDIR
NHD:FTYPE
NHD:FType
NHD:GNIS_ID
NHD:GNIS_Name
NHD:RESOLUTION
NHD:ReachCode
NHD:Resolution
NHD:way_id
NHS
USGS-LULC:CLASS
WDPA_ID:ref
clc:id
clc:year
de:amtlicher_gemeindeschluessel
de:regionalschluessel
de:strassenschluessel
design:code:SPb
gnis:Class
gnis:County
gnis:County_num
gnis:ST_alpha
gnis:ST_num
gnis:county_id
gnis:county_name
gnis:created
gnis:edited
gnis:fcode
gnis:feature_id
gnis:feature_type
gnis:ftype
gnis:id
gnis:import_uuid
gnis:reviewed
gnis:state_id
hazmat
hazmat:water
it:fvg:ctrn:code
lacounty:ain
massgis:ARTICLE97
massgis:ASSESS_ACR
massgis:ASSESS_LOT
massgis:ASSESS_MAP
massgis:ATT_DATE
massgis:BASE_MAP
massgis:COMMENTS
massgis:DCAM_ID
massgis:DEED_ACRES
massgis:EOEAINVOLV
massgis:FEESYM
massgis:FEE_OWNER
massgis:FY_FUNDING
massgis:IT_VALC
massgis:IT_VALC
massgis:IT_VALDESC
massgis:LEV_PROT
massgis:LEV_PROT
massgis:MANAGER
massgis:MANAGR_ABR
massgis:MANAGR_TYP
massgis:MANAGR_TYP
massgis:OBJECTID
massgis:OS_DEED_BO
massgis:OS_DEED_PA
massgis:OS_ID
massgis:OWNER_ABRV
massgis:OWNER_TYPE
massgis:PALIS_ID
massgis:POLY_CODE
massgis:POLY_ID
massgis:PRIM_PURP
massgis:PUB_ACCESS
massgis:SITE_NAME
massgis:SOURCE
massgis:SOURCE_MAP
massgis:SOURCE_SCA
massgis:TOWN_ID
massgis:WETCODE
massgis:way_id
naptan:AltCommonName
naptan:AtcoCode
naptan:Bearing
naptan:BusStopType
naptan:BusStopType
naptan:CommonName
naptan:Crossing
naptan:Indicator
naptan:Landmark
naptan:NaptanCode
