true,vending,string,9156,110058,1033
true,water_slide,string,315,1137,19
true,navigationaid,string,112,3437,52
true,osm,string,53,396,19
true,destination:symbol,string,1001,15637,1523
true,washing_machine,string,167,526,2
true,addr:hamlet:it,string,176,24961,146
true,contact:email,string,7527,88272,77479
true,cyclability,string,59,508,8
true,toilets:access,string,643,14080,28
true,via_ferrata_scale,string,259,1308,24
true,change:backward,string,190,4334,7
true,payment:account_cards,string,570,2437,15
true,fuel:e85,string,1371,3696,5
true,seamark:cable_submarine:category,string,91,1307,8
true,monitoring:seismic_activity,string,44,100,2
true,is_in:suburb,string,517,17005,2005
true,kneipp_water_cure,string,40,202,5
true,vehicle,string,11832,184508,300
true,drink:raw_milk,string,62,146,4
true,stile,string,600,16915,44
true,seamark:wreck:category,string,100,1374,6
true,imagery_used,string,68,588,23
true,not:name,string,1159,14345,7669
true,handrail:center,string,588,2642,4
true,monitoring:weather,string,843,3109,11
true,motorcycle:rental,string,89,448,5
true,wholesale,string,390,824,137
true,seamark:beacon_lateral:shape,string,218,15996,10
true,demolished,string,235,1596,179
true,maxspeed:advisory,string,645,15777,45
true,highway,string,381496,130261937,692
true,flickr,string,47,447,426
true,communication:bos,string,178,1096,4
true,construction,string,11357,280229,771
true,photo,string,139,643,465
true,floating,string,1835,19807,9
true,studio,string,1031,2432,78
true,destination:street,string,540,25692,10494
true,technology,string,566,15564,225
true,mineshaft_type,string,284,1439,29
true,community_centre:for,string,670,2054,73
true,harbour:category,string,46,192,12
true,gritting,string,370,18701,13
true,building:facade:colour,string,196,11621,282
true,reservation,string,516,1699,21
true,service_times,string,2964,11121,5280
true,tower:type,string,13771,230858,889
true,mobile_phone:repair,string,62,87,3
true,observatory:type,string,235,468,18
true,mtb:description,string,666,4318,1737
true,generator:output:steam,string,203,368,35
true,wetland,string,8161,723920,277
true,crop,string,5405,205046,1726
true,official_name:ar,string,40,135,117
true,architect:wikidata,string,131,705,349
true,museum_type,string,84,478,56
true,basin,string,1834,18734,66
true,defensive,string,48,97,5
