rail
level_crossing
switch
abandoned
buffer_stop
signal
platform
crossing
station
disused
tram
milestone
tram_stop
railway
subway
narrow_gauge
halt
subway_entrance
stop
light_rail
razed
construction
preserved
railway_crossing
derail
miniature
signal_box
monorail
funicular
